Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, -57.444893170562, -93.5448747435278
1.05008717709257, -57.9171423833833, -58.087543668978
1.10023740396029, -60.8223581824366, -81.811406969009
1.15022882992898, -54.2117625762427, -98.9045912311148
1.2001872507665, -52.4769252080672, -82.9634045475201
1.25013349742941, -54.8961206066209, -104.412856516143
1.30002096077692, -53.9843368845579, -109.730514018301
1.35021521089153, -50.6707883302558, -103.753146717576
1.40006158353663, -50.8839905702266, -106.209282411641
1.44982550917017, -49.7528331314788, -121.207506231989
1.4999399087982, -48.7283785046031, -112.956176207499
1.5500251058573, -48.0478941449492, -116.83378500883
1.60003624924587, -48.3049504573967, -127.140119862809
1.64988874168836, -47.2707595554459, -129.516290044508
1.70008416867721, -47.04852297219, -140.157036691978
1.74995727394125, -46.6969211623868, -139.706813654274
1.80000942972812, -47.0488524932797, -137.728191348504
1.85005655899785, -46.2883586302239, -140.268677910747
1.9000491613492, -45.847651486244, -135.390321796677
1.95001206795852, -46.0647545684114, -141.853030898631
2.00000330702098, -45.1264547507879, -142.513358707863
2.04999706515493, -45.443584615021, -144.317160955166
2.09999650842934, -45.4652953799201, -143.048077636972
2.15001413379777, -44.4802218518457, -143.134330565724
2.19999588945832, -44.4267778442538, -143.092593431907
2.25001979289102, -44.5439091794438, -139.898037224292
2.30002096077692, -44.3907403075707, -136.227426824786
2.34998942742822, -43.9760255557938, -141.600394014144
2.39998107663457, -43.034450879933, -137.017610914881
2.45000493263147, -43.1847267485258, -132.278894939704
2.50000386498445, -42.6918907975926, -132.292573924475
2.54999660790907, -42.4096468215478, -131.981377473866
2.60001085116511, -42.1790810958566, -128.316027624192
2.65000194238805, -41.5772811116514, -129.185746816879
2.70000347479331, -39.5886981070674, -121.317470824438
2.74999323886876, -40.0067513248768, -124.193174557218
2.7999934038058, -38.9873795331527, -114.158305921262
2.84999943002093, -38.7508801306916, -118.644574847849
2.89999824459179, -37.7013520707783, -117.806106603841
2.95000072260443, -36.7255533625589, -115.957642995686
3.00000330702098, -35.7129743601175, -114.572515908603
3.04999706515493, -35.1690922585814, -113.455420135077
3.09999650842934, -33.5519141927429, -112.923701459745
3.14999981694791, -32.3019435378152, -97.9130563457102
3.20000226952724, -32.3307252235491, -113.967152500265
3.25000273464235, -31.5947635597581, -112.699698593155
3.30000068984962, -30.4675565330256, -113.199135391694
3.34999846102084, -29.7321372551454, -114.206148509728
3.40000120475924, -28.8321672241658, -114.773664389364
3.45000134488859, -27.8259927296861, -115.724838168189
3.50000066739881, -26.9362553667689, -116.994337892592
3.54999945778804, -26.1702283069865, -118.927745359416
3.6000006915169, -25.3540381536135, -120.407487006235
3.6499996786632, -24.3928619100283, -122.881206104127
3.69999943970551, -23.7649985331058, -125.823098074809
3.75000043149688, -23.0923590413649, -129.405452372927
3.7999998142457, -22.4213314432242, -132.849236708262
3.84999943002093, -21.8151090343338, -136.279656547363
3.89999951758348, -21.2835106025392, -138.485905059548
3.94999958805272, -20.7827666384918, -144.987358128699
4.00000027352157, -20.3999997841439, -148.865879001591
4.04999976878512, -20.1291799444292, -153.046584471626
4.09999972124884, -19.7551900786012, -157.122046091169
4.14999981694791, -19.615818023571, -159.925740326887
4.19999971751092, -19.3289730300401, -165.667353452622
4.24999989153576, -18.9899742331519, -171.674079511036
4.30000018306431, -19.0222659154483, -174.351485609275
4.34999981604352, -18.743667949427, -178.875759195966
4.39999999709807, -18.3431975173138, -182.963182367252
4.44999990978314, -17.8840949568832, -190.356845982021
4.50000002787886, -17.5087609155286, -200.715084766484
4.5500000277616, -17.5203119936467, -210.933586513398
4.5999999295337, -17.3529267811816, -223.895518464668
4.64999990503621, -17.5640011330786, -235.921211648248
4.70000004497107, -17.7803192402334, -249.074342440693
4.7500000718683, -18.1634455564056, -262.045484043225
4.79999997450548, -18.0923582231135, -272.437556874399
4.8500000013479, -18.542801166236, -289.925581764638
4.90000002677911, -19.6867707590136, -307.307915859171
4.95000004187376, -20.5934654076009, -309.196770370913
4.99999997017047, -20.6825144549629, -316.345332044639
5.05000003914721, -20.2179955251597, -336.032349567763
5.09999996220934, -21.886033446917, -388.797322783635
5.15000003170415, -23.8822420642215, -425.691757190206
5.19999997271323, -27.1709974850231, -437.672052696758
5.25000000526039, -30.3738458912323, -449.524866931423
5.29999998035002, -33.4620439894064, -461.416259460628
5.34999999671289, -36.4344994111301, -472.04592878651
5.39999999709807, -39.4333006168415, -484.038121698432
5.45000001741621, -42.6470901883208, -497.86495246867
5.49999999590284, -45.535161304809, -510.194203869012
5.54999999926294, -48.3794387511554, -524.196030146057
5.60000000573208, -51.8553375233449, -540.07483622946
5.64999999558539, -54.0652136991634, -553.641604849881
5.70000000462006, -57.5667985598222, -564.823464074341
5.74999999994255, -62.4051951932288, -596.678946685478
5.80000000655743, -60.9424717916551, -622.026431594592
5.8500000013479, -70.0897860390817, -622.655536762016
5.90000000131934, -75.3495525077142, -623.444144628538
5.94999999649168, -91.0757508510992, -524.8120912013
6.00000000050558, -84.8187715305648, -610.970273478955
