Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, -11.0871345406463, -118.84324771633
1.02505153551083, -16.0525030964018, -134.304695789831
1.05008717709257, -14.6833442986681, -136.74910602909
1.07461031495166, -14.4328057869043, -135.471176750687
1.10023740396029, -15.4501118560005, -139.20203172019
1.12519476082111, -16.8080701217481, -102.465817315463
1.15022882992898, -13.1554502143594, -141.38887845145
1.17525111177794, -14.3935601261894, -140.557060129027
1.2001872507665, -13.297918357626, -141.277342686415
1.22497540357315, -13.7985422927162, -141.34571042027
1.25013349742941, -12.3120193267361, -143.131645931674
1.27498866046599, -12.8445916888518, -150.423512998088
1.30002096077692, -13.3220062081187, -150.649429192977
1.3251259873748, -13.1208446748275, -148.970716629867
1.35021521089153, -12.6154494911128, -144.641187945505
1.37478791685446, -13.895680708639, -146.065931198763
1.40006158353663, -12.846836726646, -147.946013120957
1.425086369249, -11.8894076281201, -153.378312542183
1.44982550917017, -11.7183656952718, -152.684877713447
1.47492816403652, -10.8710524330516, -158.487264220476
1.4999399087982, -12.5119952815824, -157.159162268876
1.52510093279032, -12.621156736264, -155.503359488469
1.5500251058573, -13.1397307611857, -155.217058607941
1.57494366923977, -11.6846455039552, -152.454950693806
1.60003624924587, -10.2141517570876, -166.605032981517
1.62495858916778, -12.855408755608, -152.090831193628
1.64988874168836, -11.1984971697967, -159.973299666156
1.6749638424656, -12.397303419716, -161.346885448901
1.70008416867721, -11.4481036393019, -160.219906848206
1.72497498585417, -11.4615836631679, -160.813099776189
1.74995727394125, -11.5897911448874, -158.938488786574
1.77494067899635, -11.1070022481324, -157.945584886026
1.80000942972812, -11.7428633848063, -164.453109416922
1.82507333135022, -11.8149534231134, -156.523410912425
1.85005655899785, -11.8116286835852, -157.641244546453
1.87503086367341, -11.9123520034361, -161.648014171485
1.9000491613492, -11.6100666424699, -155.066997426533
1.92502828707863, -10.3343212948222, -159.004957064859
1.95001206795852, -11.903369497281, -156.131273842755
1.97503099740089, -11.0318779242938, -160.439397754668
2.00000330702098, -11.3564391704921, -160.207297804608
2.02495607568367, -10.0364925858567, -159.201825524247
2.04999706515493, -11.4843205682047, -156.186695203704
2.07503588527665, -8.53763654414523, -151.413593159213
2.09999650842934, -11.0647708396412, -147.609882076388
2.12496732196705, -10.4881187310054, -152.968449027025
2.15001413379777, -11.0300197378014, -154.883884360724
2.17498086006922, -10.6813703198363, -157.507543690161
2.19999588945832, -10.3861392550285, -156.849250925034
2.22497540357315, -10.0316912347436, -153.711391548329
2.25001979289102, -10.2959266475258, -153.461092804301
2.27498866046599, -10.1083437798787, -154.111537198067
2.30002096077692, -9.66975041317192, -150.066175151602
2.32498247429912, -10.4576231082913, -145.876487733921
2.34998942742822, -10.1333023694153, -146.641187460665
2.3750011721899, -8.97395908318075, -144.261272489217
2.39998107663457, -9.39890182413789, -146.519587566638
2.42501037056442, -9.37785632555922, -144.127851805154
2.45000493263147, -9.37719943346987, -141.095451393212
