Frequency Log(Hz), Gain (dB), Phase (deg)
0.999497431038443, 15.2004388945456, -81.8242214122981
1.02505153551083, 14.6853492488347, -82.4366837486573
1.05008717709257, 14.2020927065822, -83.10926631867
1.07461031495166, 13.7258174209593, -83.6046030043164
1.10023740396029, 13.234487269347, -84.1901682250132
1.12519476082111, 12.7497918471098, -84.7755488227747
1.15022882992898, 12.2150864627986, -85.4443419787134
1.17525111177794, 11.7815170774147, -85.8327466915455
1.2001872507665, 11.3079284595001, -86.4348513714686
1.22497540357315, 10.8321580754928, -87.0041457900594
1.25013349742941, 10.3004310387706, -87.306836974992
1.27498866046599, 9.83710739999893, -87.9562043225995
1.30002096077692, 9.36262683185669, -88.5115387737176
1.3251259873748, 8.82651284341023, -88.7342496728769
1.35021521089153, 8.32732529920718, -89.2185138473276
1.37478791685446, 7.84379899983813, -89.6476834720283
1.40006158353663, 7.38508192294106, -90.534359887305
1.425086369249, 6.85749470510311, -90.6774270048059
1.44982550917017, 6.3558000346372, -91.1161514193194
1.47492816403652, 5.87063460798954, -91.7265941356685
1.4999399087982, 5.35847966153021, -92.3259547133427
1.52510093279032, 4.85961994114815, -92.739919300403
1.5500251058573, 4.37035414028232, -93.4692996311576
1.57494366923977, 3.84906435856867, -93.5700226151769
1.60003624924587, 3.35632741898024, -94.5287745060954
1.62495858916778, 2.8564947474907, -95.1738853913106
1.64988874168836, 2.33538623321706, -95.6166402992771
1.6749638424656, 1.79997500660142, -96.1754497166798
1.70008416867721, 1.30396483917053, -96.3132769657676
1.72497498585417, 0.790880784570443, -97.2738440236486
1.74995727394125, 0.263577576235848, -98.0851810216829
1.77494067899635, -0.266695979258196, -98.6599183742152
1.80000942972812, -0.762212431093973, -99.0751048771474
1.82507333135022, -1.31116617614751, -99.9456167207971
1.85005655899785, -1.83019293179423, -100.601492932491
1.87503086367341, -2.36432274189954, -101.268605740529
1.9000491613492, -2.89069278327056, -102.063426389988
1.92502828707863, -3.33384757869185, -102.594853620075
1.95001206795852, -3.85465987552054, -103.592991598937
1.97503099740089, -4.44142314567028, -104.485266853528
2.00000330702098, -5.01718743787393, -105.366137268211
2.02495607568367, -5.45225828599635, -106.424015053862
2.04999706515493, -6.09031980291624, -106.569005149278
2.07503588527665, -6.6299531914986, -108.18304722829
2.09999650842934, -7.19381217667027, -108.97874461723
2.12496732196705, -7.74991897607136, -110.317838702044
2.15001413379777, -8.31494304704839, -111.087557788568
2.17498086006922, -8.90172124518107, -112.971676718555
2.19999588945832, -9.414505547114, -114.110754127299
2.22497540357315, -9.96756941398851, -115.317845074707
2.25001979289102, -10.6159907301265, -116.891096035089
2.27498866046599, -11.2976455887327, -118.402751912461
2.30002096077692, -11.8840822333062, -120.508464765467
2.32498247429912, -12.541179885445, -121.421553043656
2.34998942742822, -13.2313339043911, -122.655726367975
2.3750011721899, -13.9036760753393, -124.985543093992
2.39998107663457, -14.6606110400846, -126.906336510395
2.42501037056442, -15.2439673648789, -126.979839842286
2.45000493263147, -15.9285183107168, -128.270691566154
2.47499591140143, -16.6296797812883, -129.927039846785
2.50000386498445, -17.3904128672881, -131.653237789571
2.52501038245843, -17.9147268962959, -134.263123309067
2.54999660790907, -18.9445183649381, -135.914241955302
2.57499748182666, -19.6078792157661, -137.911261015207
2.60001085116511, -20.4265689807936, -138.952790772913
2.6250065483619, -21.4289074311137, -140.11002254897
2.65000194238805, -22.2795139252854, -140.79192325166
2.67500658588199, -22.9952610825985, -141.841991945976
2.70000347479331, -23.5603549006943, -144.275937577807
2.72499403344006, -24.4007559803821, -146.809068605237
2.74999323886876, -25.3870210353653, -149.092324369055
2.77499160968639, -26.4678479752498, -148.900868768141
2.7999934038058, -27.3243372383531, -150.074320450338
2.82499769005736, -27.9679135449783, -150.462301276123
2.84999943002093, -29.1716758431159, -149.005342493148
2.8750038963983, -29.8896593941831, -154.339049277754
2.89999824459179, -30.7932027783666, -152.480620472844
2.92500425240794, -31.6109787965455, -155.559953041153
2.95000072260443, -32.3890579254929, -156.674751226341
2.9749988659177, -33.963822586163, -159.309456542883
3.00000330702098, -35.0575442721155, -160.437748948956
3.02500380822006, -36.5863451616051, -167.99495434885
3.04999706515493, -37.2568855631685, -153.446343816481
3.07500185499283, -38.2648305422314, -157.895374412998
3.09999650842934, -38.5451032165801, -163.869975121807
3.12499765403033, -40.3297755471876, -160.110135613991
3.14999981694791, -40.8722990151696, -161.320462779408
3.17500113478185, -40.4968150641069, -159.083469334145
3.20000226952724, -43.71033604301, -160.370281256426
3.22499949691214, -42.683799720884, -155.754623125175
3.25000273464235, -45.9328245187141, -153.157777251748
3.27499939690885, -45.7621265648065, -148.104237313031
3.30000068984962, -47.5421878863036, -150.91386698018
3.32500161211616, -43.7432451474017, -147.673644914758
3.34999846102084, -45.901554809111, -161.921604211976
3.3750011721899, -78.469426866541, 3.85679000244193
3.40000120475924, -50.928783622139, -141.724096778116
3.42499896961459, -53.8491789026087, -163.530758858099
3.45000134488859, -51.1460964938206, -183.422735363974
3.47499929849228, -55.8544237882825, -140.059357453608
3.50000066739881, -57.359419153461, -162.789409834732
3.52500132638677, -60.6092883120178, -169.223110795646
3.54999945778804, -54.5757956379468, -128.761100049079
3.57500017228098, -54.7638473689743, -167.137259878553
3.6000006915169, -55.0202673749462, -123.523904902458
3.6249993548204, -51.9738127672308, -121.808021679786
3.6499996786632, -51.4895678665253, -75.0226881811201
3.67500017463771, -57.8802982346437, -115.627914554337
3.69999943970551, -53.117630836473, -118.779021775612
3.72499974755292, -60.9656499137126, -117.355841541018
3.75000043149688, -75.9577239009028, -111.049656521481
3.77500009755408, -67.5413355598321, -76.3203264567977
3.7999998142457, -52.4667940501867, -112.864991122857
3.82500071596204, -53.9730851049678, -141.594142459785
3.84999943002093, -51.1722566303266, -142.791171161173
3.8749998511626, -62.881343575003, -126.01760564437
3.89999951758348, -62.7922347331902, -55.6622073881839
3.92499944531419, -57.2721011826871, -156.491498578437
3.94999958805272, -52.3926658732756, -94.5042421826127
3.97499993700544, -58.745786664915, -62.3686149589943
4.00000027352157, -48.781796257903, -134.678159351413
